S/N,TwoClause_CDCL,AllClause_CDCL,Chaff_CDCL,Iterative_DPLL,Recursive_DPLL
1,0.704,0.039,0.556,0.107,0.062
2,0.578,0.004,10.062,0.065,0.053
3,0.433,0.064,5.217,0.098,0.124
4,0.454,0.167,0.661,0.026,0.093
5,0.92,0.015,0.474,0.043,0.017
6,0.017,0.039,21.294,0.006,0.046
7,0.241,0.026,1.763,0.012,0.054
8,0.911,0.087,22.19,0.076,0.148
9,0.254,0.097,1.3,0.021,0.071
10,0.159,0.003,15.943,0.055,0.011
11,0.049,0.058,0.325,0.014,0.055
12,0.018,0.013,4.469,0.109,0.037
13,0.076,0.111,0.321,0.02,0.082
14,0.357,0.068,0.127,0.096,0.082
15,0.21,0.083,0.268,0.011,0.103
16,0.2,0.012,105.193,0.04,0.035
17,0.906,0.094,0.714,0.184,0.143
18,0.269,0.073,0.696,0.011,0.088
19,0.028,0.029,0.046,0.01,0.018
20,0.037,0.057,0.536,0.008,0.031
21,0.54,0.029,0.698,0.008,0.038
22,0.036,0.006,0.024,0.006,0.006
23,0.389,0.047,0.057,0.123,0.011
24,0.028,0.123,2.994,0.024,0.21
25,0.322,0.006,0.385,0.085,0.008
26,0.551,0.021,0.167,0.31,0.017
27,0.149,0.04,1.794,0.084,0.045
28,1.411,0.263,50.746,0.017,0.209
29,0.022,0.079,0.139,0.029,0.033
30,0.17,0.071,0.005,0.119,0.149
31,0.262,0.037,1.847,0.009,0.072
32,0.277,0.102,8.014,0.011,0.284
33,0.305,0.066,1.039,0.055,0.026
34,0.678,0.135,5.147,0.091,0.066
35,0.182,0.097,15.189,0.017,0.11
36,0.702,0.128,0.349,0.009,0.119
37,0.427,0.065,61.928,0.075,0.085
38,0.388,0.106,5.203,0.015,0.055
39,0.216,0.023,0.142,0.034,0.048
40,0.038,0.025,14.845,0.065,0.013
41,0.344,0.033,38.433,0.01,0.049
42,0.326,0.013,0.012,0.008,0.065
43,0.121,0.106,0.423,0.011,0.04
44,0.272,0.109,1.015,0.03,0.076
45,0.015,0.005,0.119,0.024,0.03
46,0.254,0.007,1.148,0.016,0.015
47,0.205,0.093,4.191,0.027,0.068
48,0.021,0.007,0.015,0.013,0.015
49,0.839,0.089,0.201,0.02,0.078
50,0.335,0.06,12.452,0.032,0.222
51,0.095,0.053,7.494,0.02,0.03
52,1.082,0.136,12.229,0.077,0.113
53,0.467,0.035,2.098,0.037,0.014
54,0.009,0.092,3.144,0.075,0.083
55,0.356,0.034,1.98,0.02,0.106
56,0.104,0.027,2.334,0.007,0.031
57,0.006,0.013,15.924,0.009,0.025
58,0.073,0.015,0.006,0.01,0.012
59,0.004,0.05,0.163,0.008,0.077
60,0.688,0.089,11.268,0.19,0.098
61,0.173,0.012,9.726,0.039,0.014
62,0.545,0.108,8.595,0.012,0.034
63,0.246,0.047,0.333,0.017,0.032
64,0.294,0.085,5.22,0.11,0.06
65,0.008,0.071,0.043,0.009,0.052
66,0.019,0.027,0.095,0.008,0.017
67,0.267,0.033,1.641,0.031,0.056
68,0.575,0.017,2.488,0.01,0.022
69,0.127,0.023,0.007,0.051,0.035
70,0.271,0.095,0.046,0.01,0.052
71,0.094,0.111,75.086,0.01,0.109
72,1.229,0.177,22.252,0.204,0.193
73,0.171,0.078,14.925,0.129,0.215
74,0.113,0.093,2.199,0.094,0.104
75,0.6,0.065,0.207,0.03,0.052
76,0.405,0.051,7.042,0.018,0.171
77,0.144,0.187,4.077,0.016,0.177
78,0.375,0.056,0.356,0.011,0.086
79,0.255,0.123,0.005,0.011,0.164
80,0.069,0.103,5.649,0.074,0.09
81,0.019,0.01,0.8,0.013,0.051
82,0.366,0.121,0.015,0.063,0.114
83,0.768,0.103,1.571,0.022,0.058
84,0.31,0.064,2.278,0.014,0.079
85,0.009,0.021,0.014,0.01,0.038
86,0.113,0.159,0.462,0.104,0.095
87,0.313,0.094,8.644,0.067,0.068
88,0.39,0.069,14.727,0.155,0.041
89,0.012,0.019,0.764,0.012,0.007
90,0.095,0.061,14.624,0.007,0.022
91,0.155,0.011,0.301,0.009,0.041
92,0.141,0.018,3.296,0.011,0.102
93,0.141,0.063,11.129,0.043,0.101
94,0.036,0.003,0.168,0.029,0.006
95,0.051,0.059,0.135,0.016,0.059
96,0.26,0.01,8.521,0.011,0.007
97,0.174,0.036,0.087,0.014,0.053
98,0.023,0.02,2.117,0.009,0.045
99,0.426,0.024,60.458,0.071,0.137
100,0.015,0.042,0.072,0.014,0.071
101,0.425,0.051,0.034,0.011,0.072
102,0.398,0.059,24.004,0.153,0.12
103,0.023,0.072,0.16,0.014,0.106
104,0.258,0.062,0.8,0.029,0.043
105,0.14,0.142,18.548,0.011,0.163
