S/N,AllClause_CDCL
1,7.548
2,0.128
3,2.956
4,0.511
5,4.929
6,2.297
7,0.594
8,0.559
9,1.815
10,15.376
11,5.878
12,6.426
13,2.186
14,2.697
15,7.736
16,0.198
17,0.123
18,3.459
19,8.665
20,4.275
21,2.364
22,0.841
23,1.41
24,0.413
25,0.979
26,3.244
27,4.721
28,0.738
29,2.16
30,1.056
31,1.581
32,3.148
33,6.179
34,0.966
35,9.21
36,4.73
37,11.748
38,1.955
39,0.996
40,3.352
41,1.748
42,1.165
43,0.609
44,13.495
45,3.449
46,3.905
47,1.357
48,0.098
49,27.049
50,4.625
51,6.913
52,11.478
53,0.409
54,4.677
55,21.362
56,0.588
57,4.8
58,0.3
59,0.657
60,6.869
61,12.888
62,1.423
63,1.848
64,3.733
65,1.67
66,1.706
67,2.261
68,0.22
69,4.527
70,10.353
71,4.078
72,5.642
73,3.555
74,0.058
75,0.795
76,3.277
77,1.915
78,0.89
79,1.854
80,0.798
81,1.776
82,3.714
83,0.124
84,3.655
85,1.054
86,10.725
87,3.281
88,6.242
89,3.009
90,0.92
91,0.151
92,2.418
93,2.959
94,2.273
95,4.377
96,2.602
97,1.782
98,2.391
99,0.065
100,1.853
101,1.615
102,0.193
103,4.913
104,35.746
105,1.523
106,0.904
107,12.316
108,20.961
109,3.507
110,15.853
111,1.922
112,0.239
113,1.187
114,0.2
115,0.184
116,2.069
117,9.994
118,0.451
119,1.607
120,5.479
121,7.047
122,1.052
123,5.415
124,3.797
125,0.754
126,2.616
127,0.815
128,4.184
129,2.35
130,2.681
131,8.181
132,0.324
133,13.554
134,2.043
135,8.516
136,3.478
137,1.414
138,4.07
139,18.414
140,0.895
141,4.901
142,6.269
143,8.217
144,1.688
145,2.235
146,1.76
147,4.167
148,0.497
149,1.639
150,0.197
151,4.544
152,6.963
153,1.765
154,1.457
155,3.705
156,15.07
157,1.059
158,0.558
159,4.498
160,1.928
161,0.432
162,1.373
163,7.416
164,1.73
165,1.836
166,9.99
167,0.34
168,7.217
169,3.657
170,5.777
171,4.606
172,0.786
173,0.86
174,3.695
175,3.418
176,2.739
177,3.507
178,0.195
179,3.09
180,5.305
181,7.539
182,1.536
183,2.482
184,1.147
185,7.922
186,0.612
187,7.583
188,1.704
189,8.844
190,0.255
191,8.215
192,6.498
193,1.353
194,11.913
195,7.843
196,8.096
197,17.125
198,18.92
199,1.17
200,1.855
201,3.079
202,6.408
203,2.665
204,0.686
205,3.29
206,2.234
207,1.139
208,2.364
209,1.201
210,4.326
211,3.58
212,0.504
213,0.962
214,1.211
215,8.789
216,3.519
217,3.09
218,3.514
219,7.158
220,0.768
221,1.472
222,2.199
223,1.319
224,2.725
225,0.689
226,5.434
227,0.299
228,6.089
229,3.219
230,0.895
231,4.054
232,0.366
233,0.171
234,1.328
235,10.104
236,0.321
237,0.679
238,6.127
239,0.069
240,7.486
241,3.469
242,7.933
243,0.755
244,12.513
245,8.004
246,3.97
247,8.949
248,0.348
249,0.476
250,1.547
251,0.197
252,1.001
253,2.774
254,2.086
255,3.944
256,9.009
257,0.308
258,5.903
259,0.472
260,7.944
261,0.955
262,1.72
263,0.197
264,2.107
265,2.419
266,11.616
267,7.017
268,0.799
269,6.234
270,0.589
271,1.804
272,0.868
273,1.165
274,5.238
275,1.192
276,6.925
277,10.167
278,3.286
279,2.993
280,3.103
281,3.081
282,0.601
283,1.804
284,1.435
285,0.402
286,11.086
287,0.393
288,0.936
289,2.239
290,5.763
291,0.851
292,20.892
293,0.48
294,1.696
295,4.303
296,2.647
297,1.204
298,1.808
299,1.368
300,5.87
301,2.748
302,2.448
303,7.984
304,12.072
305,0.984
306,0.823
307,2.124
308,1.845
309,0.465
310,1.234
311,0.239
312,0.904
313,0.026
314,13.549
315,11.532
316,5.737
317,12.02
318,8.205
319,1.405
320,2.342
321,2.364
322,0.675
323,2.453
324,0.295
325,23.231
326,2.727
327,5.449
328,2.224
329,4.661
330,1.179
331,0.616
332,1.163
333,3.175
334,0.756
335,8.594
336,0.34
337,9.392
338,1.107
339,4.566
340,0.11
341,2.068
342,4.865
343,1.845
344,16.474
345,1.92
346,7.958
347,0.06
348,2.556
349,0.622
350,1.411
351,0.892
352,32.319
353,0.681
354,4.727
355,2.256
356,0.733
357,12.873
358,0.366
359,11.234
360,3.867
361,1.123
362,3.171
363,10.572
364,0.913
365,0.265
366,2.916
367,6.46
368,4.111
369,2.516
370,2.685
371,2.086
372,2.017
373,3.844
374,2.315
375,1.962
376,0.824
377,2.715
378,0.311
379,7.742
380,14.972
381,4.707
382,1.966
383,0.024
384,9.018
385,0.617
386,0.977
387,4.599
388,4.181
389,4.748
390,2.684
391,1.571
392,0.222
393,2.452
394,6.514
395,22.835
396,7.039
397,5.823
398,0.086
399,1.75
400,4.157
401,2.642
402,5.172
403,0.262
404,12.809
405,1.338
406,1.618
407,1.517
408,0.866
409,0.901
410,1.228
411,8.339
412,2.093
413,0.538
414,0.138
415,0.393
416,1.114
417,0.16
418,5.891
419,1.583
420,7.75
421,6.291
422,0.127
423,0.224
424,9.882
425,1.571
426,0.067
427,4.583
428,0.085
429,9.018
430,4.699
431,0.583
432,0.802
433,0.364
434,0.082
435,11.315
436,7.378
437,4.145
438,4.038
439,8.063
440,0.262
441,0.03
442,10.095
443,0.295
444,0.484
445,0.626
446,0.44
447,4.636
448,8.05
449,1.732
450,1.209
451,1.151
452,32.786
453,0.025
454,2.061
455,6.109
456,0.554
457,3.323
458,15.945
459,4.139
460,1.278
461,0.967
462,8.047
463,9.021
464,6.006
465,3.618
466,0.401
467,13.634
468,1.755
469,9.821
470,0.631
471,0.492
472,0.434
473,1.701
474,0.751
475,0.179
476,3.39
477,2.053
478,7.28
479,0.894
480,0.588
481,3.342
482,0.388
483,3.25
484,0.089
485,8.484
486,5.63
487,10.274
488,0.831
489,8.336
490,1.778
491,5.89
492,2.458
493,5.097
494,2.819
495,2.073
496,12.031
497,12.243
498,2.573
499,2.243
500,5.908
501,1.032
502,3.779
503,3.669
504,3.636
505,13.826
506,0.6
507,0.335
508,21.351
509,3.191
510,9.444
511,11.711
512,0.513
513,2.629
514,7.159
515,0.793
516,0.773
517,10.241
518,2.006
519,0.843
520,2.183
521,10.63
522,0.074
523,14.695
524,0.27
525,3.411
526,4.405
527,6.736
528,1.995
529,5.472
530,4.53
531,4.404
532,3.109
533,12.962
534,3.587
535,6.757
536,5.407
537,2.365
538,1.291
539,13.54
540,3.764
541,7.462
542,3.016
543,3.634
544,4.111
545,0.084
