S/N,TwoClause_CDCL,AllClause_CDCL
1,1.223,0.75
2,2.605,0.225
3,2.444,0.265
4,21.444,0.094
5,3.223,0.014
6,0.421,0.187
7,1.16,0.632
8,1.275,0.176
9,21.932,0.041
10,1.244,0.198
11,0.894,0.343
12,4.657,0.785
13,1.562,0.561
14,1.441,2.247
15,0.283,0.369
16,2.189,0.018
17,2.524,0.184
18,6.36,0.273
19,0.816,0.011
20,2.741,0.371
21,7.894,0.262
22,0.729,0.114
23,0.103,0.232
24,1.018,0.868
25,0.846,0.955
26,1.336,0.329
27,5.785,0.743
28,3.286,0.047
29,3.726,0.945
30,0.624,0.301
31,8.235,0.235
32,3.024,1.128
33,3.206,0.342
34,1.611,0.199
35,10.639,0.09
36,0.627,0.484
37,8.258,0.777
38,0.214,1.083
39,0.015,0.022
40,4.478,0.658
41,5.473,0.865
42,10.328,0.432
43,0.527,0.232
44,0.068,0.474
45,0.117,0.544
46,2.241,0.134
47,2.921,0.083
48,4.563,0.788
49,6.648,0.256
50,1.865,0.208
51,2.763,0.388
52,9.518,0.711
53,0.114,0.121
54,5.859,1.165
55,0.127,0.61
56,3.176,0.976
57,2.394,1.073
58,4.2,1.076
59,8.107,0.303
60,24.595,0.156
61,0.276,0.033
62,8.501,0.223
63,44.178,0.715
64,0.577,0.975
65,4.394,1.472
66,0.504,0.316
67,11.308,1.343
68,1.868,0.055
69,0.174,0.152
70,0.295,0.38
71,2.22,1.35
72,0.397,0.039
73,4.54,0.242
74,2.388,0.472
75,9.192,0.614
76,0.061,0.068
77,3.513,0.488
78,1.624,0.113
79,7.31,1.279
80,14.594,0.076
81,1.196,0.634
82,0.836,0.413
83,0.137,0.22
84,2.768,0.561
85,0.299,0.445
86,3.515,0.753
87,0.177,0.081
88,1.577,0.299
89,16.786,0.353
90,1.851,0.085
91,2.037,0.834
92,29.507,0.218
93,1.511,0.05
94,0.567,0.47
95,0.151,0.215
96,1.546,0.103
97,0.596,2.122
98,37.28,0.232
99,2.737,0.599
100,11.395,0.471
