S/N,TwoClause_CDCL,AllClause_CDCL
1,6.248,0.503
2,10.858,0.978
3,9.084,1.338
4,6.14,0.598
5,4.109,3.223
6,5.097,0.778
7,35.99,2.139
8,11.819,1.051
9,93.74,1.68
10,8.75,1.297
11,7.355,0.86
12,12.127,0.97
13,66.098,0.885
14,5.776,2.496
15,11.2,0.74
16,10.249,0.622
17,14.475,1.231
18,12.678,2.11
19,19.225,1.497
20,10.525,0.478
21,3.201,0.985
22,47.57,0.695
23,14.95,2.959
24,12.53,1.227
25,13.146,0.831
26,6.475,0.822
27,30.152,1.111
28,40.115,0.877
29,12.304,1.153
30,3.805,1.491
31,6.35,1.661
32,4.202,0.466
33,12.501,1.722
34,4.901,2.097
35,9.757,1.512
36,25.541,0.929
37,4.44,1.706
38,7.93,1.907
39,8.314,0.662
40,12.788,1.012
41,7.679,0.777
42,4.885,0.8
43,21.226,1.502
44,4.017,1.196
45,13.177,0.685
46,12.586,1.922
47,23.573,2.198
48,29.274,0.724
49,9.686,0.528
50,14.618,0.598
51,16.38,1.371
52,20.015,0.776
53,18.136,1.482
54,3.396,3.855
55,6.824,1.126
56,92.791,1.316
57,39.702,0.757
58,15.247,0.851
59,23.077,1.607
60,9.474,0.949
61,6.155,0.395
62,4.322,0.92
63,15.152,0.819
64,7.672,1.077
65,22.625,1.363
66,18.227,1.183
67,11.291,1.727
68,9.727,0.828
69,3.529,1.231
70,21.552,1.217
71,9.474,0.753
72,17.945,1.044
73,16.676,0.723
74,4.486,0.956
75,26.023,0.928
76,10.352,0.751
77,4.299,0.531
78,8.886,1.011
79,5.09,1.251
80,7.056,0.633
81,5.12,0.834
82,11.217,0.525
83,15.666,0.9
84,8.08,1.292
85,4.861,0.459
86,6.68,1.136
87,14.411,1.044
88,29.412,0.775
89,10.16,1.297
90,23.868,0.464
91,20.717,0.457
92,3.897,0.844
93,5.984,0.662
94,2.639,0.329
95,4.825,1.286
96,10.079,2.633
97,15.051,0.879
98,96.671,1.251
99,9.748,0.354
100,11.161,1.238
